"year","sector_name","moving_average"
"2008","Mining, quarrying, and oil and gas extraction [21]","123557666666.66666667"
"2008","Utilities [22]","36324000000.00000000"
"2008","Construction [23]","106597000000.00000000"
"2008","Other services (except public administration) [81]","30463333333.33333333"
"2008","Finance and insurance [52]","97070666666.66666667"
"2008","Health care and social assistance [62]","102403333333.33333333"
"2008","Educational services [61]","80013000000.00000000"
"2008","Retail trade [44-45]","79423666666.66666667"
"2008","Agriculture, forestry, fishing and hunting [11]","26232666666.66666667"
"2008","Transportation and warehousing [48-49]","62185333333.33333333"
"2008","Public administration [91]","100620000000.00000000"
"2008","Business, building and other support services [55, 56]","52153666666.66666667"
"2008","Manufacturing [31-33]","173908000000.00000000"
"2008","Real estate and rental and leasing [53]","176042666666.66666667"
"2009","Transportation and warehousing [48-49]","62661666666.66666667"
"2009","Accommodation and food services [72]","31968000000.00000000"
"2009","Manufacturing [31-33]","166998333333.33333333"
"2009","Utilities [22]","36572000000.00000000"
"2009","Finance and insurance [52]","97909000000.00000000"
"2009","Retail trade [44-45]","80642000000.00000000"
"2009","Information, culture and recreation [51, 71]","62434666666.66666667"
"2009","Professional, scientific and technical services [54]","83658000000.00000000"
"2009","Public administration [91]","107510666666.66666667"
"2009","Health care and social assistance [62]","107736666666.66666667"
"2009","Educational services [61]","83683666666.66666667"
"2009","Other services (except public administration) [81]","31376666666.66666667"
"2009","Agriculture, forestry, fishing and hunting [11]","26178000000.00000000"
"2009","Construction [23]","111042666666.66666667"
"2009","Real estate and rental and leasing [53]","183767333333.33333333"
"2009","Business, building and other support services [55, 56]","53098666666.66666667"
"2009","Mining, quarrying, and oil and gas extraction [21]","121132000000.00000000"
"2010","Real estate and rental and leasing [53]","191957666666.66666667"
"2010","Construction [23]","114270000000.00000000"
"2010","Agriculture, forestry, fishing and hunting [11]","26852000000.00000000"
"2010","Professional, scientific and technical services [54]","86726333333.33333333"
"2010","Health care and social assistance [62]","112969666666.66666667"
"2010","Business, building and other support services [55, 56]","53979333333.33333333"
"2010","Manufacturing [31-33]","167258666666.66666667"
"2010","Educational services [61]","87248666666.66666667"
"2010","Mining, quarrying, and oil and gas extraction [21]","115539000000.00000000"
"2010","Information, culture and recreation [51, 71]","63696666666.66666667"
"2010","Public administration [91]","113631000000.00000000"
"2010","Finance and insurance [52]","99973333333.33333333"
"2010","Other services (except public administration) [81]","32308666666.66666667"
"2010","Retail trade [44-45]","81812333333.33333333"
"2010","Accommodation and food services [72]","32643000000.00000000"
"2010","Utilities [22]","36854000000.00000000"
"2010","Transportation and warehousing [48-49]","64287000000.00000000"
"2011","Transportation and warehousing [48-49]","67876333333.33333333"
"2011","Finance and insurance [52]","103659000000.00000000"
"2011","Health care and social assistance [62]","117505333333.33333333"
"2011","Mining, quarrying, and oil and gas extraction [21]","126795000000.00000000"
"2011","Utilities [22]","37967666666.66666667"
"2011","Agriculture, forestry, fishing and hunting [11]","29766666666.66666667"
"2011","Information, culture and recreation [51, 71]","65646000000.00000000"
"2011","Retail trade [44-45]","83814000000.00000000"
"2011","Construction [23]","124029666666.66666667"
"2011","Accommodation and food services [72]","33943333333.33333333"
"2011","Educational services [61]","90406333333.33333333"
"2011","Manufacturing [31-33]","175588333333.33333333"
"2011","Other services (except public administration) [81]","33524000000.00000000"
"2011","Real estate and rental and leasing [53]","200713000000.00000000"
"2011","Business, building and other support services [55, 56]","56438333333.33333333"
"2011","Public administration [91]","118184666666.66666667"
"2011","Professional, scientific and technical services [54]","91592000000.00000000"
"2012","Business, building and other support services [55, 56]","59267666666.66666667"
"2012","Finance and insurance [52]","107260666666.66666667"
"2012","Agriculture, forestry, fishing and hunting [11]","33485333333.33333333"
"2012","Professional, scientific and technical services [54]","96512666666.66666667"
"2012","Real estate and rental and leasing [53]","209805666666.66666667"
"2012","Construction [23]","132988333333.33333333"
"2012","Accommodation and food services [72]","35650666666.66666667"
"2012","Manufacturing [31-33]","180699333333.33333333"
"2012","Mining, quarrying, and oil and gas extraction [21]","133316333333.33333333"
"2012","Utilities [22]","39348666666.66666667"
"2012","Public administration [91]","123246333333.33333333"
"2012","Health care and social assistance [62]","122375333333.33333333"
"2012","Information, culture and recreation [51, 71]","67075333333.33333333"
"2012","Transportation and warehousing [48-49]","71533000000.00000000"
"2012","Educational services [61]","93737333333.33333333"
"2012","Other services (except public administration) [81]","34919666666.66666667"
"2012","Retail trade [44-45]","86312333333.33333333"
"2013","Information, culture and recreation [51, 71]","68528666666.66666667"
"2013","Manufacturing [31-33]","184507000000.00000000"
"2013","Finance and insurance [52]","111644000000.00000000"
"2013","Health care and social assistance [62]","127094333333.33333333"
"2013","Construction [23]","142278333333.33333333"
"2013","Educational services [61]","96708000000.00000000"
"2013","Agriculture, forestry, fishing and hunting [11]","33594000000.00000000"
"2013","Professional, scientific and technical services [54]","101485333333.33333333"
"2013","Retail trade [44-45]","89036000000.00000000"
"2013","Other services (except public administration) [81]","36337666666.66666667"
"2013","Accommodation and food services [72]","37611000000.00000000"
"2013","Mining, quarrying, and oil and gas extraction [21]","138535000000.00000000"
"2013","Real estate and rental and leasing [53]","219215000000.00000000"
"2013","Transportation and warehousing [48-49]","75824000000.00000000"
"2013","Utilities [22]","40576666666.66666667"
"2013","Public administration [91]","126983333333.33333333"
"2013","Business, building and other support services [55, 56]","62270666666.66666667"
"2014","Transportation and warehousing [48-49]","80169333333.33333333"
"2014","Retail trade [44-45]","91764666666.66666667"
"2014","Finance and insurance [52]","118261000000.00000000"
"2014","Information, culture and recreation [51, 71]","69614000000.00000000"
"2014","Real estate and rental and leasing [53]","228593000000.00000000"
"2014","Professional, scientific and technical services [54]","105634333333.33333333"
"2014","Business, building and other support services [55, 56]","64931000000.00000000"
"2014","Other services (except public administration) [81]","37517333333.33333333"
"2014","Utilities [22]","42156000000.00000000"
"2014","Agriculture, forestry, fishing and hunting [11]","34966666666.66666667"
"2014","Manufacturing [31-33]","189663333333.33333333"
"2014","Construction [23]","147059666666.66666667"
"2014","Educational services [61]","99855666666.66666667"
"2014","Health care and social assistance [62]","132552666666.66666667"
"2014","Accommodation and food services [72]","39516666666.66666667"
"2014","Public administration [91]","130378333333.33333333"
"2014","Mining, quarrying, and oil and gas extraction [21]","126504333333.33333333"
"2015","Health care and social assistance [62]","138188666666.66666667"
"2015","Utilities [22]","43360000000.00000000"
"2015","Information, culture and recreation [51, 71]","71636666666.66666667"
"2015","Other services (except public administration) [81]","38347333333.33333333"
"2015","Construction [23]","147628666666.66666667"
"2015","Educational services [61]","103055333333.33333333"
"2015","Accommodation and food services [72]","41626000000.00000000"
"2015","Mining, quarrying, and oil and gas extraction [21]","106740666666.66666667"
"2015","Professional, scientific and technical services [54]","109736000000.00000000"
"2015","Business, building and other support services [55, 56]","66288000000.00000000"
"2015","Transportation and warehousing [48-49]","84152333333.33333333"
"2015","Real estate and rental and leasing [53]","238592333333.33333333"
"2015","Finance and insurance [52]","123346333333.33333333"
"2015","Public administration [91]","133038000000.00000000"
"2015","Agriculture, forestry, fishing and hunting [11]","35528666666.66666667"
"2015","Retail trade [44-45]","94607000000.00000000"
"2015","Manufacturing [31-33]","195897000000.00000000"
"2016","Health care and social assistance [62]","143557666666.66666667"
"2016","Information, culture and recreation [51, 71]","74140666666.66666667"
"2016","Professional, scientific and technical services [54]","114032666666.66666667"
"2016","Construction [23]","148195666666.66666667"
"2016","Manufacturing [31-33]","202320666666.66666667"
"2016","Utilities [22]","44047666666.66666667"
"2016","Other services (except public administration) [81]","39356333333.33333333"
"2016","Business, building and other support services [55, 56]","66386000000.00000000"
"2016","Real estate and rental and leasing [53]","248400000000.00000000"
